# Quasar data set provided bei Risaliti & Lusso, Nature Astronomy, 2018. See also companion publication
# xz       xlo        xlx        xfo        xfx         xefx      namex               
  0.9548   30.47139   26.6944    -27.2007   -30.97768   0.0144    111609.62+441846.0  
  0.9574   30.50657   26.3568    -27.1685   -31.31827   0.04868   131200.29+551305.4  
  0.9596   30.06392   26.50086   -27.6136   -31.17666   0.01662   121849.62+295450.4  
  0.9611   30.2625    26.03594   -27.4166   -31.64316   0.04669   103525.05+580335.6  
  0.9622   30.34431   26.76232   -27.3361   -30.91808   0.01415   090029.02+390145.2  
  0.9623   31.11845   26.79377   -26.562    -30.88668   0.01269   114931.75+223028.3  
  0.9628   29.97212   26.46267   -27.7089   -31.21836   0.03293   091204.61+003718.9  
  0.963    30.46793   26.56083   -27.2133   -31.1204    0.03658   152602.80+165259.0  
  0.9635   30.03201   26.09696   -27.6498   -31.58485   0.03357   123508.18+393020.0  
  0.9678   30.8166    26.3767    -26.87     -31.30989   0.03017   105220.91+440439.0  
  0.9712   30.46714   26.49132   -27.2232   -31.19902   0.02576   132711.13+011009.7  
  0.9733   29.88534   25.81691   -27.8073   -31.87573   0.06552   205048.06-010447.3  
  0.9735   29.75433   26.19286   -27.9386   -31.50007   0.0327    021419.62-004215.8  
  0.9749   30.49826   26.67996   -27.1962   -31.0145    0.02594   074707.62+305414.9  
  0.9797   30.46164   26.18797   -27.2381   -31.51177   0.04617   111620.13+290903.2  
  0.9806   29.97081   26.61162   -27.7299   -31.0891    0.02662   101827.13-000008.5  
  0.9807   30.35053   26.35043   -27.3503   -31.3504    0.02081   150140.94+421834.0  
  0.9837   30.43582   26.41062   -27.2683   -31.2935    0.02431   145146.53+270616.4  
  0.9842   30.36257   26.70439   -27.3421   -31.00028   0.01076   112026.20+134024.5  
  0.9871   30.46443   26.34032   -27.2434   -31.36751   0.05076   011906.79-002740.6  
  0.9872   29.57694   25.91442   -28.131    -31.79352   0.05012   232757.24-000035.9  
  0.9874   29.9002    26.0621    -27.8079   -31.64601   0.03155   100202.77+022434.6  
  0.9913   30.5179    26.76985   -27.1945   -30.94255   0.02924   143124.27+282227.8  
  0.992    30.42567   27.04654   -27.2874   -30.66653   0.00737   124938.39+050925.5  
  0.9953   30.12458   26.62346   -27.5921   -31.09322   0.01456   233023.48+000811.8  
  0.9958   30.57736   27.03551   -27.1399   -30.68175   0.02373   172130.96+584404.7  
  0.9965   30.35426   26.27665   -27.3637   -31.44131   0.03639   104239.66+583231.0  
  0.9971   30.12036   26.5167    -27.5983   -31.20196   0.02203   004336.00+010636.9  
  0.9988   30.5663    26.86173   -27.1542   -30.85876   0.01554   163408.64+331242.0  
  0.9991   30.67307   26.65519   -27.0477   -31.06558   0.02551   080633.19+153810.2  
  1.0002   31.28237   27.08299   -26.4396   -30.63898   0.01527   112317.51+051804.0  
  1.0037   30.54483   26.76245   -27.1809   -30.96328   0.0257    011339.39-003009.3  
  1.0073   30.66765   26.63428   -27.0619   -31.09527   0.02061   102124.95+130115.5  
  1.0085   30.49557   26.57428   -27.2353   -31.1566    0.04002   014307.67+001532.5  
  1.0094   30.30599   26.81696   -27.4258   -30.91483   0.03112   221729.41-081154.9  
  1.0155   29.90207   26.51252   -27.8362   -31.22575   0.021     022837.60+003010.2  
  1.0198   30.42241   26.80247   -27.3204   -30.94034   0.04067   014630.95+001531.6  
  1.0203   30.37317   26.45445   -27.3701   -31.28882   0.04223   010550.41-001254.7  
  1.022    30.39081   26.2273    -27.3543   -31.51782   0.05034   221640.14+001620.0  
  1.0273   30.47776   26.08603   -27.2729   -31.66463   0.09538   023931.87+002854.0  
  1.0282   29.94163   26.45115   -27.81     -31.30048   0.01962   132938.57+471854.6  
  1.0307   30.442     26.84108   -27.3122   -30.91312   0.02076   104659.38+573055.8  
  1.0327   30.57889   26.87954   -27.1774   -30.87674   0.01424   092829.85+504836.5  
  1.035    30.00291   26.53004   -27.7558   -31.22867   0.05153   234152.83-091145.5  
  1.0359   29.82894   26.20498   -27.9307   -31.55466   0.03869   232626.14+000922.2  
  1.0367   30.84538   27.0593    -26.9151   -30.70118   0.01566   112340.22+385129.2  
  1.039    30.35466   26.4867    -27.4082   -31.27616   0.0195    123049.79+640848.2  
  1.0408   29.95884   26.22688   -27.8058   -31.53776   0.03876   122832.93+603735.2  
  1.0428   30.75834   26.88314   -27.0084   -30.88361   0.01718   124555.11-003735.4  
  1.0432   30.43552   26.80407   -27.3316   -30.96305   0.02751   234705.67+010630.5  
  1.0443   30.48842   26.46098   -27.2799   -31.30734   0.04061   143709.37+584545.5  
  1.0455   30.30579   26.57698   -27.4637   -31.19252   0.01622   030307.36+001020.4  
  1.0485   30.5356    26.69626   -27.237    -31.07634   0.02494   215458.74-090823.3  
  1.0493   30.30172   26.69051   -27.4717   -31.08291   0.02479   123059.70+101624.7  
  1.053    30.07716   25.7903    -27.7      -31.98686   0.05474   011544.05+002014.9  
  1.0531   29.78734   26.0371    -27.99     -31.74024   0.04065   124301.33+322902.8  
  1.0579   30.06127   26.22954   -27.7209   -31.55263   0.02939   021609.26+003442.8  
  1.0601   30.4857    26.40503   -27.2987   -31.37937   0.03838   171732.94+594747.4  
  1.0622   30.60855   26.40294   -27.178    -31.38361   0.06767   151424.93+370413.5  
  1.0626   30.60016   26.45587   -27.1868   -31.33109   0.04073   152620.56+165036.9  
  1.0641   29.88785   25.89595   -27.9006   -31.8925    0.0505    124147.06+324812.2  
  1.0659   30.6657    26.71244   -27.1246   -31.07786   0.02364   125425.20+102138.3  
  1.0669   30.26542   26.44762   -27.5259   -31.3437    0.04209   075429.52+215908.3  
  1.0675   30.45324   26.9137    -27.3387   -30.87824   0.01849   112302.78+670437.6  
  1.068    30.70493   26.62993   -27.0875   -31.1625    0.02048   085232.85+175127.1  
  1.0683   30.42943   26.56479   -27.3633   -31.22794   0.01972   095946.01+024743.5  
  1.0683   30.53384   26.50542   -27.2589   -31.28731   0.03347   000524.83-084502.8  
  1.0705   30.46645   26.33833   -27.3285   -31.45662   0.03219   112928.88+165710.0  
  1.0744   30.38502   26.74897   -27.4138   -31.04985   0.01582   141540.04+112406.5  
  1.0749   30.17273   26.73452   -27.6266   -31.0648    0.02598   014251.74+133352.6  
  1.0749   30.19096   26.61762   -27.6084   -31.18174   0.0245    103056.11+645726.4  
  1.076    30.42608   26.56437   -27.3744   -31.2361    0.0308    131212.93+215644.4  
  1.0793   30.54652   26.52721   -27.2572   -31.2765    0.02468   154614.85+022622.8  
  1.083    30.15857   26.77799   -27.6488   -31.02938   0.01438   092053.77+365830.9  
  1.0838   30.34308   26.82968   -27.4651   -30.9785    0.02008   123406.26+022101.7  
  1.0844   30.9611    26.82572   -26.8477   -30.98308   0.01851   104947.40+330026.2  
  1.0845   30.23052   26.31099   -27.5784   -31.49793   0.06153   083010.19+335859.4  
  1.0908   30.46774   26.0773    -27.3474   -31.73783   0.04874   133642.62+102804.7  
  1.0913   30.20016   26.79176   -27.6154   -31.0238    0.00879   085808.91+274522.7  
  1.0918   30.20112   25.84683   -27.615    -31.96929   0.04828   123705.39+285931.3  
  1.0929   30.38012   26.67596   -27.437    -31.14117   0.03527   085346.15+201000.9  
  1.0937   30.11011   26.68987   -27.7078   -31.12804   0.02613   104114.19+590219.4  
  1.0943   30.46349   26.50795   -27.3551   -31.31064   0.02953   234131.38-091214.4  
  1.0949   30.5587    26.4341    -27.2604   -31.38499   0.05689   221447.74-002032.6  
